id,project,cvss_score,cvss_version
CVE-2022-34174,jenkins,7.5,3.1
CVE-2022-34175,jenkins,7.5,3.1
CVE-2022-41224,jenkins,5.4,3.1
CVE-2023-27898,jenkins,9.6,3.1
CVE-2023-27899,jenkins,7.0,3.1
CVE-2023-27900,jenkins,7.5,3.1
CVE-2023-27901,jenkins,7.5,3.1
CVE-2023-27902,jenkins,4.3,3.1
CVE-2023-27903,jenkins,4.4,3.1
CVE-2023-27904,jenkins,5.3,3.1
CVE-2023-35141,jenkins,8.0,3.1
CVE-2023-39151,jenkins,5.4,3.1
CVE-2023-43494,jenkins,4.3,3.1
CVE-2023-43495,jenkins,5.4,3.1
CVE-2023-43496,jenkins,8.8,3.1
CVE-2023-43497,jenkins,8.1,3.1
CVE-2023-43498,jenkins,8.1,3.1
CVE-2024-23897,jenkins,9.8,3.1
CVE-2024-23898,jenkins,8.8,3.1
CVE-2024-43044,jenkins,8.8,3.1
CVE-2024-43045,jenkins,6.3,3.1
CVE-2024-47803,jenkins,4.3,3.1
CVE-2024-47804,jenkins,4.3,3.1
CVE-2025-27622,jenkins,4.3,3.1
CVE-2025-27623,jenkins,4.3,3.1
CVE-2025-27624,jenkins,5.4,3.1
CVE-2025-27625,jenkins,4.3,3.1
CVE-2025-31720,jenkins,4.3,3.1
CVE-2025-31721,jenkins,4.3,3.1
CVE-2024-9453,jenkins,6.5,3.1
CVE-2025-59474,jenkins,5.3,3.1
CVE-2025-59475,jenkins,4.3,3.1
CVE-2025-59476,jenkins,5.3,3.1
CVE-2025-67635,jenkins,7.5,3.1
CVE-2025-67636,jenkins,4.3,3.1
CVE-2025-67637,jenkins,4.3,3.1
CVE-2025-67638,jenkins,4.3,3.1
CVE-2025-67639,jenkins,3.5,3.1
CVE-2026-27099,jenkins,8.0,3.1
CVE-2026-27100,jenkins,4.3,3.1
CVE-2026-33001,jenkins,8.8,3.1
CVE-2026-33002,jenkins,7.5,3.1
CVE-2013-7316,gitlab,4.3,2.0
CVE-2013-4580,gitlab,6.8,2.0
CVE-2013-4581,gitlab,6.8,2.0
CVE-2013-4490,gitlab,6.5,2.0
CVE-2013-4546,gitlab,6.5,2.0
CVE-2014-3456,gitlab,4.3,2.0
CVE-2013-4489,gitlab,6.5,2.0
CVE-2016-9086,gitlab,6.5,3.0
CVE-2016-4340,gitlab,8.8,3.0
CVE-2016-9469,gitlab,8.2,3.0
CVE-2017-0882,gitlab,6.3,3.0
CVE-2017-8778,gitlab,6.1,3.0
CVE-2017-11437,gitlab,6.5,3.0
CVE-2017-11438,gitlab,6.3,3.0
CVE-2017-12426,gitlab,8.8,3.0
CVE-2017-17716,gitlab,5.9,3.0
CVE-2014-8540,gitlab,6.5,3.0
CVE-2017-0914,gitlab,7.5,3.0
CVE-2017-0915,gitlab,9.8,3.0
CVE-2017-0916,gitlab,9.8,3.0
CVE-2017-0917,gitlab,6.1,3.0
CVE-2017-0918,gitlab,8.8,3.0
CVE-2017-0922,gitlab,7.5,3.0
CVE-2017-0923,gitlab,6.1,3.0
CVE-2017-0924,gitlab,6.1,3.0
CVE-2017-0925,gitlab,7.2,3.0
CVE-2017-0926,gitlab,8.8,3.0
CVE-2017-0927,gitlab,6.5,3.0
CVE-2018-3710,gitlab,7.8,3.1
CVE-2017-0920,gitlab,4.3,3.0
CVE-2018-8971,gitlab,9.8,3.0
CVE-2018-9243,gitlab,6.1,3.0
CVE-2018-9244,gitlab,6.1,3.0
CVE-2018-8801,gitlab,6.5,3.0
CVE-2018-10379,gitlab,6.1,3.0
CVE-2017-0919,gitlab,7.5,3.0
CVE-2017-0921,gitlab,8.1,3.0
CVE-2018-14364,gitlab,9.8,3.0
CVE-2018-14601,gitlab,7.5,3.0
CVE-2018-14602,gitlab,7.5,3.0
CVE-2018-14603,gitlab,8.8,3.0
CVE-2018-14604,gitlab,6.1,3.0
CVE-2018-14605,gitlab,5.4,3.0
CVE-2018-14606,gitlab,5.4,3.0
CVE-2018-12605,gitlab,5.4,3.0
