id,cwes,project
CVE-2023-38155,"['CWE-502', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-36561,"['CWE-284', 'NVD-CWE-noinfo']",azure_devops
CVE-2023-21751,"['CWE-284', 'NVD-CWE-noinfo']",azure_devops
CVE-2024-20667,"['CWE-77', 'NVD-CWE-noinfo']",azure_devops
CVE-2024-35266,"['CWE-79', 'NVD-CWE-noinfo']",azure_devops
CVE-2024-35267,"['CWE-79', 'NVD-CWE-noinfo']",azure_devops
CVE-2017-8907,"['CWE-863', 'CWE-863']",bamboo
CVE-2022-26136,"['CWE-180', 'CWE-287']",bamboo
CVE-2022-26137,"['CWE-180', 'CWE-346']",bamboo
CVE-2024-21687,"['NVD-CWE-noinfo', 'CWE-98']",bamboo
CVE-2024-21689,"['NVD-CWE-noinfo', 'CWE-94']",bamboo
CVE-2020-10516,"['CWE-285', 'CWE-552']",github
CVE-2020-10517,"['CWE-285', 'NVD-CWE-noinfo']",github
CVE-2020-10518,"['CWE-77', 'NVD-CWE-noinfo']",github
CVE-2020-10519,"['CWE-77', 'NVD-CWE-noinfo']",github
CVE-2021-22861,"['CWE-285', 'NVD-CWE-Other']",github
CVE-2021-22862,"['CWE-285', 'NVD-CWE-Other']",github
CVE-2021-22863,"['CWE-285', 'NVD-CWE-Other']",github
CVE-2021-22864,"['CWE-77', 'NVD-CWE-noinfo']",github
CVE-2021-22865,"['CWE-285', 'NVD-CWE-Other']",github
CVE-2021-22866,"['CWE-451', 'CWE-1021']",github
CVE-2021-32638,"['CWE-200', 'CWE-214', 'CWE-200']",github
CVE-2021-22867,"['CWE-77', 'CWE-22']",github
CVE-2021-22868,"['CWE-77', 'CWE-22']",github
CVE-2021-22869,"['CWE-668', 'CWE-287']",github
CVE-2021-22870,"['CWE-23', 'CWE-22']",github
CVE-2021-41598,"['CWE-451', 'NVD-CWE-Other']",github
CVE-2021-41599,"['CWE-77', 'NVD-CWE-noinfo']",github
CVE-2022-23732,"['CWE-23', 'CWE-22']",github
CVE-2022-23733,"['CWE-79', 'CWE-79']",github
CVE-2022-35954,"['CWE-77', 'CWE-74']",github
CVE-2022-39209,"['CWE-400', 'CWE-407']",github
CVE-2022-23734,"['CWE-502', 'CWE-502']",github
CVE-2022-39321,"['CWE-78', 'CWE-78']",github
CVE-2022-23738,"['CWE-200', 'CWE-552']",github
CVE-2022-23740,"['CWE-88', 'CWE-88']",github
CVE-2022-23737,"['CWE-269', 'CWE-269', 'CWE-269']",github
CVE-2022-46255,"['CWE-22', 'CWE-22']",github
CVE-2022-46256,"['CWE-22', 'CWE-22', 'CWE-22']",github
CVE-2022-23741,"['CWE-863', 'CWE-863']",github
CVE-2022-46258,"['CWE-863', 'CWE-863']",github
CVE-2022-23739,"['CWE-863', 'CWE-863']",github
CVE-2023-22483,"['CWE-400', 'CWE-407']",github
CVE-2023-22484,"['CWE-400', 'CWE-407', 'CWE-407']",github
CVE-2023-22485,"['CWE-125', 'CWE-91']",github
CVE-2023-22486,"['CWE-400', 'CWE-407', 'CWE-400', 'CWE-407']",github
CVE-2023-22380,"['CWE-22', 'CWE-22']",github
CVE-2023-22381,"['CWE-94', 'CWE-94']",github
CVE-2022-46257,"['CWE-200', 'CWE-668']",github
CVE-2023-23760,"['CWE-22', 'CWE-22']",github
CVE-2023-24824,"['CWE-400', 'CWE-407']",github
CVE-2023-26485,"['CWE-400', 'CWE-407']",github
CVE-2023-23761,"['CWE-287', 'CWE-287']",github
CVE-2023-23762,"['CWE-697', 'CWE-697']",github
CVE-2023-23764,"['CWE-697', 'CWE-697']",github
CVE-2023-23765,"['CWE-697', 'CWE-697']",github
CVE-2023-23763,"['CWE-200', 'CWE-862']",github
CVE-2023-23766,"['CWE-697', 'CWE-697']",github
CVE-2023-46645,"['CWE-22', 'CWE-22']",github
CVE-2023-46646,"['CWE-639', 'CWE-639']",github
CVE-2023-46647,"['CWE-269', 'CWE-269']",github
CVE-2023-46648,"['CWE-331', 'CWE-331']",github
CVE-2023-46649,"['CWE-367', 'CWE-367']",github
CVE-2023-51379,"['CWE-863', 'CWE-863']",github
CVE-2023-51380,"['CWE-863', 'CWE-863']",github
CVE-2023-6690,"['CWE-367', 'CWE-367']",github
CVE-2023-6746,"['CWE-532', 'CWE-532']",github
CVE-2023-6802,"['CWE-532', 'CWE-532']",github
CVE-2023-6803,"['CWE-367', 'CWE-367']",github
CVE-2023-6804,"['CWE-269', 'CWE-269']",github
CVE-2023-6847,"['CWE-287', 'CWE-287']",github
CVE-2024-0200,"['CWE-470', 'CWE-470']",github
CVE-2024-0507,"['CWE-20', 'CWE-77']",github
CVE-2024-1082,"['CWE-22', 'CWE-22']",github
CVE-2024-1084,"['CWE-79', 'CWE-79']",github
CVE-2024-1354,"['CWE-20', 'CWE-77']",github
CVE-2024-1355,"['CWE-20', 'CWE-77', 'CWE-77']",github
CVE-2024-1359,"['CWE-20', 'CWE-77']",github
CVE-2024-1369,"['CWE-20', 'CWE-77']",github
CVE-2024-1372,"['CWE-20', 'CWE-77']",github
CVE-2024-1374,"['CWE-20', 'CWE-77']",github
CVE-2024-1378,"['CWE-20', 'CWE-77']",github
CVE-2024-1482,"['CWE-863', 'CWE-863']",github
CVE-2024-2443,"['CWE-20', 'NVD-CWE-noinfo']",github
CVE-2024-2469,"['CWE-20', 'NVD-CWE-noinfo']",github
CVE-2024-5566,"['CWE-269', 'NVD-CWE-noinfo']",github
CVE-2024-5795,"['CWE-400', 'CWE-400']",github
CVE-2024-5815,"['CWE-352', 'CWE-352']",github
CVE-2024-5816,"['CWE-863', 'CWE-863']",github
CVE-2024-5817,"['CWE-863', 'CWE-863']",github
CVE-2024-6336,"['CWE-200', 'NVD-CWE-noinfo']",github
CVE-2024-6395,"['CWE-200', 'NVD-CWE-noinfo']",github
CVE-2024-6337,"['CWE-863', 'CWE-863']",github
CVE-2024-6800,"['CWE-347', 'CWE-347']",github
CVE-2024-7711,"['CWE-863', 'CWE-863']",github
CVE-2024-42471,"['CWE-22', 'CWE-22']",github
CVE-2024-8263,"['CWE-269', 'NVD-CWE-noinfo']",github
CVE-2024-8770,"['CWE-79', 'CWE-79']",github
CVE-2024-9487,"['CWE-347', 'CWE-347']",github
CVE-2024-9539,"['CWE-200', 'NVD-CWE-noinfo']",github
CVE-2016-9469,"['CWE-749', 'CWE-264']",gitlab
CVE-2017-0882,"['CWE-639', 'CWE-200']",gitlab
CVE-2017-0914,"['CWE-89', 'CWE-89']",gitlab
CVE-2017-0915,"['CWE-77', 'CWE-20']",gitlab
CVE-2017-0916,"['CWE-77', 'CWE-20']",gitlab
CVE-2017-0917,"['CWE-79', 'CWE-20', 'CWE-79']",gitlab
CVE-2017-0918,"['CWE-23', 'CWE-22']",gitlab
CVE-2017-0922,"['CWE-639', 'CWE-863']",gitlab
CVE-2017-0923,"['CWE-79', 'CWE-79']",gitlab
CVE-2017-0924,"['CWE-79', 'CWE-79']",gitlab
CVE-2017-0925,"['CWE-522', 'CWE-319']",gitlab
CVE-2017-0926,"['CWE-285', 'CWE-863']",gitlab
CVE-2017-0927,"['CWE-285', 'CWE-863']",gitlab
CVE-2018-3710,"['CWE-377', 'CWE-22']",gitlab
CVE-2017-0920,"['CWE-639', 'CWE-863']",gitlab
CVE-2019-9222,"['CWE-22', 'CWE-732']",gitlab
CVE-2019-5461,"['CWE-20', 'CWE-20']",gitlab
CVE-2019-5463,"['CWE-200', 'CWE-200', 'CWE-862']",gitlab
CVE-2019-5467,"['CWE-79', 'CWE-79']",gitlab
CVE-2019-5471,"['CWE-79', 'CWE-79']",gitlab
CVE-2019-5473,"['CWE-288', 'CWE-287']",gitlab
CVE-2019-11547,"['CWE-79', 'CWE-116']",gitlab
CVE-2019-15593,"['CWE-400', 'CWE-770']",gitlab
CVE-2019-15575,"['CWE-77', 'CWE-77']",gitlab
CVE-2019-15576,"['CWE-200', 'CWE-862']",gitlab
CVE-2019-15577,"['CWE-200', 'CWE-307']",gitlab
CVE-2019-15580,"['CWE-201', 'CWE-200']",gitlab
CVE-2019-15589,"['CWE-284', 'NVD-CWE-Other']",gitlab
CVE-2019-15591,"['CWE-284', 'NVD-CWE-Other']",gitlab
CVE-2019-5469,"['CWE-639', 'CWE-639']",gitlab
CVE-2019-5486,"['CWE-288', 'CWE-287']",gitlab
CVE-2019-5487,"['CWE-284', 'NVD-CWE-Other']",gitlab
CVE-2019-15584,"['CWE-400', 'CWE-400']",gitlab
CVE-2019-15578,"['CWE-200', 'CWE-200']",gitlab
CVE-2019-15579,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2019-15581,"['CWE-639', 'CWE-639']",gitlab
CVE-2019-15582,"['CWE-639', 'CWE-639']",gitlab
CVE-2019-15583,"['CWE-200', 'CWE-200']",gitlab
CVE-2019-15585,"['CWE-287', 'CWE-287']",gitlab
CVE-2019-15586,"['CWE-79', 'CWE-79']",gitlab
CVE-2019-15590,"['CWE-284', 'NVD-CWE-Other']",gitlab
CVE-2019-5464,"['CWE-20', 'CWE-918']",gitlab
CVE-2019-5465,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2019-5466,"['CWE-639', 'CWE-639']",gitlab
CVE-2019-5470,"['CWE-200', 'CWE-862']",gitlab
CVE-2019-5472,"['CWE-400', 'CWE-269', 'NVD-CWE-Other']",gitlab
CVE-2019-5474,"['CWE-284', 'CWE-863']",gitlab
CVE-2019-15592,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2019-15594,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2019-13009,"['CWE-400', 'CWE-732']",gitlab
CVE-2020-13268,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2020-26409,"['CWE-20', 'CWE-400']",gitlab
CVE-2020-26415,"['CWE-200', 'CWE-862']",gitlab
CVE-2021-22205,"['CWE-94', 'CWE-94']",gitlab
CVE-2021-22175,"['CWE-918', 'CWE-918']",gitlab
CVE-2021-39935,"['CWE-918', 'CWE-918']",gitlab
CVE-2022-1431,"['CWE-20', 'CWE-79']",gitlab
CVE-2022-2455,"['CWE-400', 'CWE-400']",gitlab
CVE-2022-2527,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-2533,"['CWE-287', 'CWE-287']",gitlab
CVE-2022-2592,"['CWE-1284', 'CWE-1284']",gitlab
CVE-2022-2630,"['NVD-CWE-Other', 'CWE-284']",gitlab
CVE-2022-2865,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-2884,"['CWE-78', 'CWE-78']",gitlab
CVE-2022-2908,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2022-2992,"['CWE-74', 'CWE-74']",gitlab
CVE-2022-3030,"['NVD-CWE-Other', 'CWE-284']",gitlab
CVE-2022-3031,"['NVD-CWE-Other', 'CWE-307']",gitlab
CVE-2022-3060,"['CWE-22', 'CWE-22']",gitlab
CVE-2022-3066,"['NVD-CWE-noinfo', 'CWE-284']",gitlab
CVE-2022-3067,"['NVD-CWE-Other', 'CWE-284']",gitlab
CVE-2022-3279,"['CWE-755', 'CWE-755']",gitlab
CVE-2022-3283,"['CWE-400', 'CWE-400']",gitlab
CVE-2022-3286,"['NVD-CWE-noinfo', 'CWE-284']",gitlab
CVE-2022-3288,"['NVD-CWE-noinfo', 'CWE-471']",gitlab
CVE-2022-3291,"['CWE-502', 'CWE-502']",gitlab
CVE-2022-3293,"['CWE-532', 'CWE-532']",gitlab
CVE-2022-3325,"['NVD-CWE-Other', 'CWE-284']",gitlab
CVE-2022-3331,"['CWE-639', 'CWE-639']",gitlab
CVE-2022-3639,"['CWE-400', 'CWE-400']",gitlab
CVE-2022-2882,"['CWE-668', 'CWE-668']",gitlab
CVE-2022-3018,"['CWE-532', 'CWE-532']",gitlab
CVE-2022-2826,"['NVD-CWE-noinfo', 'CWE-79']",gitlab
CVE-2022-2904,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-3265,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-3280,"['CWE-601', 'CWE-601']",gitlab
CVE-2022-3486,"['CWE-601', 'CWE-601']",gitlab
CVE-2022-3413,"['CWE-639', 'CWE-639']",gitlab
CVE-2022-3818,"['CWE-400', 'CWE-400']",gitlab
CVE-2022-3819,"['CWE-863', 'CWE-863']",gitlab
CVE-2022-3514,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2022-3573,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-3613,"['NVD-CWE-noinfo', 'CWE-400']",gitlab
CVE-2022-3870,"['NVD-CWE-noinfo', 'CWE-200']",gitlab
CVE-2022-4037,"['CWE-362', 'CWE-362']",gitlab
CVE-2022-4131,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2022-4167,"['CWE-863', 'CWE-863']",gitlab
CVE-2022-4365,"['NVD-CWE-noinfo', 'CWE-732']",gitlab
CVE-2023-0042,"['CWE-601', 'CWE-601']",gitlab
CVE-2022-2907,"['NVD-CWE-noinfo', 'CWE-200']",gitlab
CVE-2022-3478,"['CWE-434', 'CWE-434']",gitlab
CVE-2022-3572,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-3740,"['NVD-CWE-Other', 'CWE-285']",gitlab
CVE-2022-3820,"['NVD-CWE-Other', 'CWE-290']",gitlab
CVE-2022-3902,"['NVD-CWE-noinfo', 'CWE-532']",gitlab
CVE-2022-4054,"['NVD-CWE-noinfo', 'CWE-200']",gitlab
CVE-2022-4092,"['CWE-79', 'CWE-79']",gitlab
CVE-2022-4335,"['CWE-918', 'CWE-918']",gitlab
CVE-2022-4201,"['CWE-918', 'CWE-918']",gitlab
CVE-2022-4205,"['CWE-843', 'CWE-843']",gitlab
CVE-2022-3411,"['CWE-1284', 'CWE-400']",gitlab
CVE-2022-3759,"['NVD-CWE-noinfo', 'CWE-400']",gitlab
CVE-2022-4138,"['CWE-352', 'CWE-352']",gitlab
CVE-2023-0518,"['NVD-CWE-noinfo', 'CWE-400']",gitlab
CVE-2022-4331,"['NVD-CWE-noinfo', 'CWE-284']",gitlab
CVE-2022-3375,"['NVD-CWE-noinfo', 'CWE-535']",gitlab
CVE-2022-3513,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-0319,"['CWE-863', 'CWE-284']",gitlab
CVE-2023-0523,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-1098,"['NVD-CWE-noinfo', 'CWE-535']",gitlab
CVE-2023-1733,"['NVD-CWE-noinfo', 'CWE-400']",gitlab
CVE-2023-0838,"['NVD-CWE-noinfo', 'CWE-200']",gitlab
CVE-2023-1071,"['CWE-863', 'CWE-400']",gitlab
CVE-2023-1167,"['CWE-862', 'CWE-285']",gitlab
CVE-2023-1417,"['CWE-863', 'CWE-639']",gitlab
CVE-2023-1708,"['CWE-77', 'CWE-94']",gitlab
CVE-2023-1710,"['NVD-CWE-noinfo', 'CWE-200']",gitlab
CVE-2023-1787,"['NVD-CWE-noinfo', 'CWE-400']",gitlab
CVE-2018-15472,"['NVD-CWE-noinfo', 'CWE-770']",gitlab
CVE-2018-17449,"['CWE-639', 'CWE-639']",gitlab
CVE-2018-17450,"['CWE-918', 'CWE-918']",gitlab
CVE-2018-17451,"['CWE-352', 'CWE-352']",gitlab
CVE-2018-17452,"['CWE-918', 'CWE-918']",gitlab
CVE-2018-17454,"['CWE-79', 'CWE-79']",gitlab
CVE-2018-17455,"['CWE-639', 'CWE-639']",gitlab
CVE-2018-17536,"['CWE-79', 'CWE-79']",gitlab
CVE-2018-17537,"['CWE-79', 'CWE-79']",gitlab
CVE-2019-14942,"['CWE-319', 'CWE-319']",gitlab
CVE-2019-14944,"['CWE-77', 'CWE-77']",gitlab
CVE-2023-1204,"['NVD-CWE-noinfo', 'CWE-347']",gitlab
CVE-2023-0805,"['NVD-CWE-noinfo', 'CWE-862']",gitlab
CVE-2023-2478,"['CWE-732', 'CWE-732']",gitlab
CVE-2023-2825,"['CWE-22', 'CWE-22']",gitlab
CVE-2023-0921,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-2132,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-2442,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-0121,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-0508,"['CWE-113', 'NVD-CWE-Other']",gitlab
CVE-2023-1825,"['CWE-201', 'NVD-CWE-Other']",gitlab
CVE-2023-2001,"['NVD-CWE-noinfo', 'CWE-290']",gitlab
CVE-2023-2013,"['NVD-CWE-noinfo', 'CWE-1021']",gitlab
CVE-2023-2015,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-2198,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-2199,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-2485,"['CWE-266', 'NVD-CWE-Other']",gitlab
CVE-2023-2589,"['NVD-CWE-noinfo', 'CWE-346']",gitlab
CVE-2023-1936,"['CWE-359', 'NVD-CWE-Other']",gitlab
CVE-2023-2190,"['CWE-639', 'CWE-639']",gitlab
CVE-2023-2200,"['CWE-116', 'CWE-79']",gitlab
CVE-2023-2576,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-2620,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3362,"['CWE-209', 'CWE-209']",gitlab
CVE-2023-3363,"['CWE-532', 'CWE-532']",gitlab
CVE-2023-3424,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-3444,"['CWE-863', 'CWE-863']",gitlab
CVE-2023-3484,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3102,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-1401,"['CWE-201', 'NVD-CWE-Other']",gitlab
CVE-2023-0632,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-1210,"['CWE-209', 'NVD-CWE-noinfo']",gitlab
CVE-2023-2164,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-3364,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-3385,"['CWE-22', 'CWE-22']",gitlab
CVE-2023-3500,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-3900,"['CWE-1287', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3993,"['CWE-532', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3994,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-4011,"['CWE-770', 'NVD-CWE-noinfo']",gitlab
CVE-2023-2022,"['CWE-262', 'NVD-CWE-Other']",gitlab
CVE-2023-3401,"['CWE-94', 'CWE-94']",gitlab
CVE-2023-3932,"['CWE-286', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4008,"['CWE-708', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4002,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4522,"['CWE-1287', 'NVD-CWE-noinfo']",gitlab
CVE-2022-4343,"['CWE-200', 'NVD-CWE-noinfo']",gitlab
CVE-2023-0120,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-1279,"['CWE-601', 'CWE-601']",gitlab
CVE-2023-1555,"['CWE-262', 'NVD-CWE-Other']",gitlab
CVE-2023-3205,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-3210,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-3915,"['CWE-279', 'CWE-732']",gitlab
CVE-2023-3950,"['CWE-312', 'CWE-312']",gitlab
CVE-2023-4018,"['CWE-425', 'NVD-CWE-Other']",gitlab
CVE-2023-4378,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4647,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-4630,"['CWE-862', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5009,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-0989,"['CWE-282', 'NVD-CWE-noinfo']",gitlab
CVE-2023-2233,"['CWE-862', 'NVD-CWE-Other']",gitlab
CVE-2023-3115,"['CWE-286', 'NVD-CWE-Other']",gitlab
CVE-2023-3906,"['CWE-1287', 'NVD-CWE-Other']",gitlab
CVE-2023-3914,"['CWE-286', 'NVD-CWE-Other']",gitlab
CVE-2023-3917,"['CWE-1287', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3920,"['CWE-863', 'CWE-863']",gitlab
CVE-2023-3979,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4532,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3922,"['CWE-601', 'CWE-601']",gitlab
CVE-2023-5198,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-3413,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5207,"['CWE-250', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5106,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-5825,"['CWE-835', 'CWE-835']",gitlab
CVE-2023-5831,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3246,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-3399,"['CWE-201', 'NVD-CWE-Other']",gitlab
CVE-2023-3909,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-5963,"['CWE-770', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4700,"['CWE-862', 'NVD-CWE-Other']",gitlab
CVE-2023-4379,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3443,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3949,"['CWE-201', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3964,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4317,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4658,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-4912,"['CWE-770', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5226,"['CWE-94', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5995,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-6033,"['CWE-79', 'CWE-79']",gitlab
CVE-2023-3511,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-3904,"['CWE-1287', 'NVD-CWE-Other']",gitlab
CVE-2023-5061,"['CWE-862', 'NVD-CWE-Other']",gitlab
CVE-2023-5512,"['CWE-94', 'CWE-94']",gitlab
CVE-2023-6051,"['CWE-94', 'CWE-94']",gitlab
CVE-2023-6680,"['CWE-295', 'CWE-295']",gitlab
CVE-2023-3907,"['CWE-286', 'NVD-CWE-Other']",gitlab
CVE-2023-2030,"['CWE-347', 'CWE-347']",gitlab
CVE-2023-4812,"['CWE-863', 'NVD-CWE-noinfo']",gitlab
CVE-2023-5356,"['CWE-863', 'CWE-863']",gitlab
CVE-2023-6955,"['CWE-862', 'CWE-862']",gitlab
CVE-2023-7028,"['CWE-640', 'CWE-640']",gitlab
CVE-2023-5933,"['CWE-80', 'CWE-79']",gitlab
CVE-2024-0402,"['CWE-22', 'CWE-22']",gitlab
CVE-2024-0456,"['CWE-425', 'NVD-CWE-Other']",gitlab
CVE-2023-5612,"['CWE-862', 'NVD-CWE-noinfo']",gitlab
CVE-2023-6159,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-6736,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-6840,"['CWE-862', 'NVD-CWE-Other']",gitlab
CVE-2024-1066,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-6564,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2024-1250,"['CWE-268', 'NVD-CWE-noinfo']",gitlab
CVE-2023-3509,"['CWE-863', 'NVD-CWE-Other']",gitlab
CVE-2023-6477,"['CWE-266', 'NVD-CWE-noinfo']",gitlab
CVE-2024-0410,"['CWE-841', 'NVD-CWE-Other']",gitlab
CVE-2024-0861,"['CWE-425', 'NVD-CWE-Other']",gitlab
CVE-2024-1451,"['CWE-79', 'CWE-79']",gitlab
CVE-2024-1525,"['CWE-288', 'NVD-CWE-Other']",gitlab
CVE-2023-4895,"['CWE-862', 'NVD-CWE-Other']",gitlab
CVE-2024-0199,"['CWE-863', 'CWE-863']",gitlab
CVE-2024-1299,"['CWE-268', 'NVD-CWE-noinfo']",gitlab
CVE-2023-6371,"['CWE-79', 'CWE-79']",gitlab
CVE-2024-2818,"['CWE-770', 'CWE-770']",gitlab
CVE-2023-6489,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2023-6678,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2024-2279,"['CWE-79', 'CWE-79']",gitlab
CVE-2024-3092,"['CWE-79', 'CWE-79']",gitlab
CVE-2024-1347,"['CWE-290', 'NVD-CWE-noinfo']",gitlab
CVE-2024-2434,"['CWE-22', 'CWE-22']",gitlab
CVE-2024-2829,"['CWE-1333', 'CWE-1333']",gitlab
CVE-2024-4006,"['CWE-863', 'CWE-863']",gitlab
CVE-2024-4024,"['CWE-302', 'CWE-287']",gitlab
